premise	hypothesis	label
Hala, 5 digituko posta-kode bereko datu demografikoen batezbestekoak bi kuartiletako guztizko kopuruen arabera kalkula litezke.	Datu demografikoen batezbestekoak kalkula litezke.	0
Hala, 5 digituko posta-kode bereko datu demografikoen batezbestekoak bi kuartiletako guztizko kopuruen arabera kalkula litezke.	Datu demografikoen batezbestekoak kalkula litezke.	1
Hala, 5 digituko posta-kode bereko datu demografikoen batezbestekoak bi kuartiletako guztizko kopuruen arabera kalkula litezke.	Datu demografikoek eskolei lagundu zieten.	2
Baltimoren ez dute programa formalik eri dauden eta lan egin ezin duten suhiltzaile eta paramedikuei laguntza ekonomikoa emateko.	Baltimoren ez dute programarik suhiltzaile eta paramediku eriei laguntza ekonomiko gehigarria emateko min hartzen dutenean.	0
Baltimoren ez dute programa formalik eri dauden eta lan egin ezin duten suhiltzaile eta paramedikuei laguntza ekonomikoa emateko.	Baltimoreko konderriko suhiltzaileek badute plan bat lanean min hartzen dutenean diruz laguntzeko.	2
Baltimoren ez dute programa formalik eri dauden eta lan egin ezin duten suhiltzaile eta paramedikuei laguntza ekonomikoa emateko.	Funtzionario horiek konpentsatzeko programa bat egon beharko litzateke.	1
Behar bezala inplementatuz gero, informazio horrek bermatzen du egin zela bidaia bat.	Informazio horrek ez du bermatzen bidaia bat egin zenik.	2
Behar bezala inplementatuz gero, informazio horrek bermatzen du egin zela bidaia bat.	Informazio horrek bermatzen du bidaia-gastuen itzulketa legitimoa izatea.	1
Behar bezala inplementatuz gero, informazio horrek bermatzen du egin zela bidaia bat.	Informazio horrek erakusten du bidaia egin zela.	0
Berez, C-R erlazioa aldatu egin daiteke leku batetik bestera (adibidez, populazioaren sentikortasunean edo PMaren osaeran dauden desberdintasunen ondorioz), baina, normalean, ez dago lokalizaziorako C-R funtzio espezifikorik.	C-R erlazioak aldatu egiten dira leku batetik bestera.	0
Berez, C-R erlazioa aldatu egin daiteke leku batetik bestera (adibidez, populazioaren sentikortasunean edo PMaren osaeran dauden desberdintasunen ondorioz), baina, normalean, ez dago lokalizaziorako C-R funtzio espezifikorik.	Normalean, erabil daitezke lokalizaziorako C-R funtzio espezifikoak.	2
Berez, C-R erlazioa aldatu egin daiteke leku batetik bestera (adibidez, populazioaren sentikortasunean edo PMaren osaeran dauden desberdintasunen ondorioz), baina, normalean, ez dago lokalizaziorako C-R funtzio espezifikorik.	Alde handiak daude, C-R erlazioari dagokionez, iparraldeko eta hegoaldeko kokapenen artean.	1
Azkenik, finantzaketaren gaia jorratu nahi nuke.	Finantzaketaz hitz egin nahi dut.	0
Azkenik, finantzaketaren gaia jorratu nahi nuke.	Gure finantzaketa apalaz hitz egin nahi dut.	1
Azkenik, finantzaketaren gaia jorratu nahi nuke.	Irakasleak eman zigun laguntzaz hitz egin nahi dut.	2
Trukerik gabeko transakzioak - irabaziak eta galerak	Irabaziak eta galerak truke-transakzioak dira.	2
Trukerik gabeko transakzioak - irabaziak eta galerak	Irabaziak eta galerak trukerik gabeko transakzioak dira.	0
Trukerik gabeko transakzioak - irabaziak eta galerak	Trukerik gabeko beste transakzio asko ere badaude.	1
Zor-tituluak funts fiduziarioen eta funts berezien aurretik erretiratzea (txandakako funts fiduziarioak izan ezik).	Kreditu batzuek txandakako funtsak dituzte.	0
Zor-tituluak funts fiduziarioen eta funts berezien aurretik erretiratzea (txandakako funts fiduziarioak izan ezik).	Kredituek inoiz ez dute txandakako funtsik.	2
Zor-tituluak funts fiduziarioen eta funts berezien aurretik erretiratzea (txandakako funts fiduziarioak izan ezik).	Txandakako funtsak dituzten kredituei esker, erraz lortuko duzu dirua.	1
Enpresak berregituratzeko prest jarraitzen du, etengabe aldatzen ari diren negozio-beharrak asetzeko.	Enpresa ikerketaren abangoardian dago.	1
Enpresak berregituratzeko prest jarraitzen du, etengabe aldatzen ari diren negozio-beharrak asetzeko.	Enpresa prest dago bere egitura aldatzeko.	0
Enpresak berregituratzeko prest jarraitzen du, etengabe aldatzen ari diren negozio-beharrak asetzeko.	Enpresak ez du aldaketarik egingo.	2
Prestaketarako ingeniaritzarako eta kontratu-negoziaziorako sei hilabetetik zortzi hilabetera bitartean behar badira ere, 900 MWe-ko bi unitate osatzeko guztizko denbora 17 hilabetetik 19 hilabetera bitartekoa izango litzateke.	Zortzi hilabete baino gehiago denbora gehiegi da.	1
Prestaketarako ingeniaritzarako eta kontratu-negoziaziorako sei hilabetetik zortzi hilabetera bitartean behar badira ere, 900 MWe-ko bi unitate osatzeko guztizko denbora 17 hilabetetik 19 hilabetera bitartekoa izango litzateke.	Prestaketarako ingeniaritzarako eta kontratu-negoziaziorako, sei hilabetetik zortzi hilabetera bitartean behar lirateke.	0
Prestaketarako ingeniaritzarako eta kontratu-negoziaziorako sei hilabetetik zortzi hilabetera bitartean behar badira ere, 900 MWe-ko bi unitate osatzeko guztizko denbora 17 hilabetetik 19 hilabetera bitartekoa izango litzateke.	Guztira, 6 hilabete baino gutxiago behar dira.	2
Lehenik eta behin, larrialdi-zentroak une hezigarri ezin hobea eskaintzen die alkoholarekin arazoak dituzten pazienteei.	Larrialdi-zentroa erabiltzen duten pazienteentzat, alkoholzalekeriatik sendatzeko baliagarria da zentroa.	1
Lehenik eta behin, larrialdi-zentroak une hezigarri ezin hobea eskaintzen die alkoholarekin arazoak dituzten pazienteei.	Larrialdi-zentroak eragina izan dezake alkohol-kontsumoarekin arazoak dituzten pazienteengan.	0
Lehenik eta behin, larrialdi-zentroak une hezigarri ezin hobea eskaintzen die alkoholarekin arazoak dituzten pazienteei.	Larrialdi-zentroak berriz alkoholzalekerian erortzera eramaten ditu sendatzen ari diren pazienteak.	2
Inskripzioa egin eta hiru hilabetera, tokian tokiko ordezkariek hornitzaile berri bakoitzaren erreklamazioen lagin bat ebaluatzen dute, eztabaidatu beharreko gairik ba ote dagoen ikusteko.	Tokian tokiko ordezkariek ez dituzte erreklamazioak aztertzen.	2
Inskripzioa egin eta hiru hilabetera, tokian tokiko ordezkariek hornitzaile berri bakoitzaren erreklamazioen lagin bat ebaluatzen dute, eztabaidatu beharreko gairik ba ote dagoen ikusteko.	Tokian tokiko ordezkariek badute ebaluaziorako aldi bat.	0
Inskripzioa egin eta hiru hilabetera, tokian tokiko ordezkariek hornitzaile berri bakoitzaren erreklamazioen lagin bat ebaluatzen dute, eztabaidatu beharreko gairik ba ote dagoen ikusteko.	Hornitzaile berriak aberatsak dira.	1
Bestalde, badira beste erantzukizun batzuk, hala nola enpresa barruko informazioaren teknologiaren plangintza eta gainbegiratzea.	Badago informazioaren teknologiaren plangintza.	0
Bestalde, badira beste erantzukizun batzuk, hala nola enpresa barruko informazioaren teknologiaren plangintza eta gainbegiratzea.	Ez dago informazioaren teknologiaren plangintzarik.	2
Bestalde, badira beste erantzukizun batzuk, hala nola enpresa barruko informazioaren teknologiaren plangintza eta gainbegiratzea.	Zer ordenagailu erosi pentsatu dute.	1
Ikerketa-arlo hori nabarmentzeko ideiak meritu handia badu ere, operazionalizazioa problematikoa da.	Arloa nabarmentzeak ez du baliorik.	2
Ikerketa-arlo hori nabarmentzeko ideiak meritu handia badu ere, operazionalizazioa problematikoa da.	Arloa nabarmentzeak badu balioa.	0
Ikerketa-arlo hori nabarmentzeko ideiak meritu handia badu ere, operazionalizazioa problematikoa da.	Mapa nabarmentzeak badu balioa.	1
Trapezoide gurutzatua ongizate-galera bat da posta-zerbitzu horien merkatuarentzat, ezin baitira mugitu.	Pentagono gurutzatuak postaren merkatuaren irabaziak handitzen lagundu du.	2
Trapezoide gurutzatua ongizate-galera bat da posta-zerbitzu horien merkatuarentzat, ezin baitira mugitu.	Posta-zerbitzuek ezin dituzte trapezoide gurutzatuaren ondoriozko galerak berreskuratu.	1
Trapezoide gurutzatua ongizate-galera bat da posta-zerbitzu horien merkatuarentzat, ezin baitira mugitu.	Merkatu-galeren arrazoia zera da: trapezoide gurutzatuak ezin direla mugitu.	0
Datuetan huts egiteko eskubidea.	Datuetako hutsegiteek eskubidea ematen dute.	0
Datuetan huts egiteko eskubidea.	Datu zuzenetarako eskubidea.	2
Datuetan huts egiteko eskubidea.	Datu okerrak sartzeko eskubidea.	1
1989ko Posta Zenbaketa Nazionala 24 egunean egin zen, irailaren 5etik urriaren 2ra, eta 44.775 landa-ibilbide izan zituen, guztira 46.197.	Posta Zenbaketa Nazionalak paketeak bakarrik hartu zituen kontuan.	2
1989ko Posta Zenbaketa Nazionala 24 egunean egin zen, irailaren 5etik urriaren 2ra, eta 44.775 landa-ibilbide izan zituen, guztira 46.197.	Posta Zenbaketa Nazionalak posta-zerbitzua aztertu zuen.	0
1989ko Posta Zenbaketa Nazionala 24 egunean egin zen, irailaren 5etik urriaren 2ra, eta 44.775 landa-ibilbide izan zituen, guztira 46.197.	Posta Zenbaketa Nazionalak posta pertsonala aztertzen du.	1
A1 taulako estatistikek erakusten dutenez, batez beste diru-sarrera altueneko etxeen eta heziketa-maila handieneko helduen posta-kodeetan egiten dira kuartil errentagarrienetako ibilbideak.	Diru-sarrera gehiago izateak etekin gehiago dakar.	1
A1 taulako estatistikek erakusten dutenez, batez beste diru-sarrera altueneko etxeen eta heziketa-maila handieneko helduen posta-kodeetan egiten dira kuartil errentagarrienetako ibilbideak.	Estatistikek ez dute ezer esaten.	2
A1 taulako estatistikek erakusten dutenez, batez beste diru-sarrera altueneko etxeen eta heziketa-maila handieneko helduen posta-kodeetan egiten dira kuartil errentagarrienetako ibilbideak.	Posta-kodeak diru-sarrerekin lotuta daude.	0
Zenbait pertsonak lekukotza eman zuten atzerritarrak herrialdea uztean ordezkaritza amaitzeaz.	Lekuko askok bertan behera uzten dute ordezkaritza.	0
Zenbait pertsonak lekukotza eman zuten atzerritarrak herrialdea uztean ordezkaritza amaitzeaz.	Atzerritarrak beldurtiak dira.	1
Zenbait pertsonak lekukotza eman zuten atzerritarrak herrialdea uztean ordezkaritza amaitzeaz.	Lekukoek ez lukete lekukotzarik emango.	2
Aukera horren aurrean, baliteke bezeroek herrialdea uzteko duten eskubideari heltzea.	Aukera zaila izan arren, bezeroek ez dute herrialdetik ihes egin nahi.	2
Aukera horren aurrean, baliteke bezeroek herrialdea uzteko duten eskubideari heltzea.	Herrialdetik irtetea izango litzateke bezeroentzako aukerarik onena.	0
Aukera horren aurrean, baliteke bezeroek herrialdea uzteko duten eskubideari heltzea.	Kartzelara joan baino lehenago, bezeroak herrialdetik aterako lirateke.	1
1999an, 2.100 familia-mediku inguru sarearen bitartez sartu ziren beren feedback-txostenetara, eta HICk hobekuntzak egin zituen beste mediku batzuei feedbacka eskaintzeko.	HICk aldaketak egin zituen feedbackean.	0
1999an, 2.100 familia-mediku inguru sarearen bitartez sartu ziren beren feedback-txostenetara, eta HICk hobekuntzak egin zituen beste mediku batzuei feedbacka eskaintzeko.	HICk ez zuen aldaketarik egin feedbackean.	2
1999an, 2.100 familia-mediku inguru sarearen bitartez sartu ziren beren feedback-txostenetara, eta HICk hobekuntzak egin zituen beste mediku batzuei feedbacka eskaintzeko.	HICk inkestak bidali zituen.	1
Ez al genuke telefono-dei bat erantzungo, galdera bat erantzungo, deposizio bat bertan behera utziko, edo ez al ginateke liburutegira joango kasu bat aztertzera?	Baliteke telefono-dei bati erantzutea.	0
Ez al genuke telefono-dei bat erantzungo, galdera bat erantzungo, deposizio bat bertan behera utziko, edo ez al ginateke liburutegira joango kasu bat aztertzera?	Telefonoari ez erantzuteak ez liguke mesederik egingo.	1
Ez al genuke telefono-dei bat erantzungo, galdera bat erantzungo, deposizio bat bertan behera utziko, edo ez al ginateke liburutegira joango kasu bat aztertzera?	Ez dago galderarik telefonoari erantzuteari buruz.	2
Nabarmen egin dugu aurrera GAOn hobetu beharreko esparru askotan, eta ahalegina egiten jarraitu behar dugu.	GAOk hobekuntza handiak behar izan ditu hamarkada batean baino gehiagoan.	1
Nabarmen egin dugu aurrera GAOn hobetu beharreko esparru askotan, eta ahalegina egiten jarraitu behar dugu.	Ez dugu konponbiderik aurkitu GAO hobetzen laguntzeko.	2
Nabarmen egin dugu aurrera GAOn hobetu beharreko esparru askotan, eta ahalegina egiten jarraitu behar dugu.	GAOko esparru batzuk hobetzen aritu gara.	0
Gerta litezkeen etenen adibide bat dira webgune publikoetan zerbitzuaren aurka berriki egindako erasoak.	Zerbitzuaren aurkako erasoek etenak sortzen dituzte.	0
Gerta litezkeen etenen adibide bat dira webgune publikoetan zerbitzuaren aurka berriki egindako erasoak.	Webgune publikoak dira etenen helburu handiak.	1
Gerta litezkeen etenen adibide bat dira webgune publikoetan zerbitzuaren aurka berriki egindako erasoak.	Ez da izan zerbitzuaren aurkako erasorik azkenaldian.	2
Gutxien aipatutako arrazoia barne-nukleoari eustea izan zen.	Barne-nukleoak ez du axola handirik.	1
Gutxien aipatutako arrazoia barne-nukleoari eustea izan zen.	Barne-nukleoari eustea ez zen asko aipatu.	0
Gutxien aipatutako arrazoia barne-nukleoari eustea izan zen.	Barne-nukleoari eustea izan zen arrazoi aipatuena.	2
Alkohol-kontsumoaren inguruan arazo multzo bat dagoen hein berean, egon daiteke irtenbide multzo bat ere.	Zenbait pazientek ikusi dute badirela zenbait metodo alkohol-abusutik sendatzeko.	1
Alkohol-kontsumoaren inguruan arazo multzo bat dagoen hein berean, egon daiteke irtenbide multzo bat ere.	Ez dago konponbiderik alkohol-kontsumorako.	0
Alkohol-kontsumoaren inguruan arazo multzo bat dagoen hein berean, egon daiteke irtenbide multzo bat ere.	Alkohol-kontsumoarekin lotuta, arazo mota bakarra dago.	2
Edo bisitatu GAOren Interneteko hasierako orria helbide honetan.	GAOk badu .org domeinuko webgune bat.	1
Edo bisitatu GAOren Interneteko hasierako orria helbide honetan.	GAO ez dago sarean.	2
Edo bisitatu GAOren Interneteko hasierako orria helbide honetan.	GAOren webgunea bisita daiteke sarean.	0
Aipatutako lau faseetako bakoitza osatzeko behar diren epeen estimazioetan oinarrituta, errekuntza-unitate batean SCRa inplementatzeko aurreikusitako epea 21 hilabete ingurukoa da.	Berrogeita hamar gizoneko lantaldea behar da errekuntza-unitate batean SCRa instalatzeko.	1
Aipatutako lau faseetako bakoitza osatzeko behar diren epeen estimazioetan oinarrituta, errekuntza-unitate batean SCRa inplementatzeko aurreikusitako epea 21 hilabete ingurukoa da.	Urtebete baino gehiago beharko litzateke errekuntza-unitate batean SCR bat inplementatzeko.	0
Aipatutako lau faseetako bakoitza osatzeko behar diren epeen estimazioetan oinarrituta, errekuntza-unitate batean SCRa inplementatzeko aurreikusitako epea 21 hilabete ingurukoa da.	Ordu gutxi batzuk behar dira errekuntza-unitate batean SCRa inplementatzeko.	2
Oposizioko abokatuei eta epaitegiari edo administrazioko organismoari bidali beharko litzaizkieke jakinarazpenak.	Oposizioko abokatua eta epaitegia jakinarazpenen zain egonen dira.	1
Oposizioko abokatuei eta epaitegiari edo administrazioko organismoari bidali beharko litzaizkieke jakinarazpenak.	Oposizioko abokatuak eta epaitegiak ez dute jakinarazpenik jasoko.	2
Oposizioko abokatuei eta epaitegiari edo administrazioko organismoari bidali beharko litzaizkieke jakinarazpenak.	Oposizioko abokatuak eta epaitegiak jakinarazpenak jasoko dituzte.	0
Irabazia edo galera trukerik gabeko irabazi edo galera gisa kontabilizatu behar da.	Irabaziak eta galerak ez dira kontuan hartu behar, ezta etiketatu ere.	2
Irabazia edo galera trukerik gabeko irabazi edo galera gisa kontabilizatu behar da.	Badira irabazi eta galera mota asko.	1
Irabazia edo galera trukerik gabeko irabazi edo galera gisa kontabilizatu behar da.	Irabazia edo galera kontabilizatzen denean, trukerik gabeko irabazi edo galera bihurtzen da.	0
23 Financial: CFO legearen helburuak lortzeko funtsezko bultzada jarraitua	23 Financialek CFO legearen helburuak lortzen jarraitzen du, bultzada positiboari esker.	0
23 Financial: CFO legearen helburuak lortzeko funtsezko bultzada jarraitua	23 Financialek bultzada galdu du bere helburuak lortzeari begira.	2
23 Financial: CFO legearen helburuak lortzeko funtsezko bultzada jarraitua	23 Financial legeko helburu guztiak betetzetik hurbil dago.	1
Heziketa juridiko komunitarioa LSCren onuradunek ematen duten zerbitzu funtsezkoa da.	LSCko onuradunek komunitatea hezten dute.	0
Heziketa juridiko komunitarioa LSCren onuradunek ematen duten zerbitzu funtsezkoa da.	Komunitateko jendeak ez du lege-sistemari buruzko heziketarik.	1
Heziketa juridiko komunitarioa LSCren onuradunek ematen duten zerbitzu funtsezkoa da.	LSCko onuradunek komunitateari abesten diote.	2
Hala ere, aurreratu daiteke larrialdi-zentroko bisita une hezigarri gisa erabiltzea eraginkorra izan daitekeela gehiegi edaten duten pertsona osasuntsuentzat.	Larrialdi-zentroko bisita bat tresna hezigarria izan daiteke edanarekin arazoak dituzten pertsonentzat.	0
Hala ere, aurreratu daiteke larrialdi-zentroko bisita une hezigarri gisa erabiltzea eraginkorra izan daitekeela gehiegi edaten duten pertsona osasuntsuentzat.	Edanarekin arazoak dituen pertsonarik ez da onartzen larrialdi-zentroan.	2
Hala ere, aurreratu daiteke larrialdi-zentroko bisita une hezigarri gisa erabiltzea eraginkorra izan daitekeela gehiegi edaten duten pertsona osasuntsuentzat.	Azterlan batzuen arabera, edanarekin arazoak dituzten pertsona gehienak bizitzan behin gutxienez joaten dira larrialdi-zentrora.	1
Bistan da AICPAren agenda balorizazio- eta orientazio-ahalegin komertzialek bete dutela azken urteotan.	AICPAk egoitza berriak ezarriko ditu hiru estatutan.	1
Bistan da AICPAren agenda balorizazio- eta orientazio-ahalegin komertzialek bete dutela azken urteotan.	AICPAk urtebete baino gehiago darama martxan.	0
Bistan da AICPAren agenda balorizazio- eta orientazio-ahalegin komertzialek bete dutela azken urteotan.	Balorizazioa ez da inoiz egon AICPAren agendan.	2
Erakunde nagusietan, bilakaeran dauden enpresa-prozesuak funtsezkoak dira informazioa kudeatzeko erantzukizun horiek nola egituratzen eta egokitzen diren zehazteko, behar aldakorrak asetzeko gai izan daitezen.	Enpresa-prozesuak ez dira egonkorrak; eboluzionatu egiten dute denborarekin.	0
Erakunde nagusietan, bilakaeran dauden enpresa-prozesuak funtsezkoak dira informazioa kudeatzeko erantzukizun horiek nola egituratzen eta egokitzen diren zehazteko, behar aldakorrak asetzeko gai izan daitezen.	Enpresa-prozesu berriak erabiltzen hasteko, prestakuntza-programa berriak sortu behar dira.	1
Erakunde nagusietan, bilakaeran dauden enpresa-prozesuak funtsezkoak dira informazioa kudeatzeko erantzukizun horiek nola egituratzen eta egokitzen diren zehazteko, behar aldakorrak asetzeko gai izan daitezen.	Beharrak inoiz aldatzen ez direnez, enpresa-prozesuek ez dute eboluzionatu beharrik.	2
Bien bitartean, New York Hiriko Tabernen Elkarteko talde bat ikasleen zorrari buruz eztabaidatzen aritu da sei hilabetez.	Urte erdiz, New Yorkeko talde bat ikasleen zorrari buruz eztabaidatzen aritu da.	0
Bien bitartean, New York Hiriko Tabernen Elkarteko talde bat ikasleen zorrari buruz eztabaidatzen aritu da sei hilabetez.	Idahoko pertsona batek ez du inoiz ezer pentsatu ikasleen zorrari buruz.	2
Bien bitartean, New York Hiriko Tabernen Elkarteko talde bat ikasleen zorrari buruz eztabaidatzen aritu da sei hilabetez.	Ikasleen zorrarekin zer egin ikertzen ari da taldea.	1
Eraginkortasuna neurtzean, perfekzioa lortezina da.	Perfektua izan zaitezke behar adina saiatuz gero.	2
Eraginkortasuna neurtzean, perfekzioa lortezina da.	Ezinezkoa da perfektua izatea.	0
Eraginkortasuna neurtzean, perfekzioa lortezina da.	Ez zara inoiz perfektua izango, denok baikara guztiz akastunak.	1
2000. urtean Hazmiri eta Mihdharri gela alokatu zien pisukidea, itxuraz, legea errespetatzen duen herritarra da, eta lagunak dauzka aspaldidanik udaltzaingoan eta FBIko langileen artean.	Hazmik eta Mihdharrek etxe bat erosi zuten eta ez zuten inorekin harremanik izan.	2
2000. urtean Hazmiri eta Mihdharri gela alokatu zien pisukidea, itxuraz, legea errespetatzen duen herritarra da, eta lagunak dauzka aspaldidanik udaltzaingoan eta FBIko langileen artean.	Hazmik eta Mihdharrek logela bat alokatu zuten urte osorako, eguneko 500 dolarren truke.	1
2000. urtean Hazmiri eta Mihdharri gela alokatu zien pisukidea, itxuraz, legea errespetatzen duen herritarra da, eta lagunak dauzka aspaldidanik udaltzaingoan eta FBIko langileen artean.	Hazmik eta Mihdharrek gela bat alokatu zuten.	0
Bosniarako bidaiari buruzko informazioa lortzeko, ikusi inteligentzia-zerbitzuaren txostenean datorren Al Qaeda sauditako kideari egindako galdeketa, 2001eko urriaren 3koa.	Al Qaedako kide batek 18 aldiz bidaiatu zuen Bosniara 2001ean.	1
Bosniarako bidaiari buruzko informazioa lortzeko, ikusi inteligentzia-zerbitzuaren txostenean datorren Al Qaeda sauditako kideari egindako galdeketa, 2001eko urriaren 3koa.	Al Qaedako kide bat Bosniara joan zen.	0
Bosniarako bidaiari buruzko informazioa lortzeko, ikusi inteligentzia-zerbitzuaren txostenean datorren Al Qaeda sauditako kideari egindako galdeketa, 2001eko urriaren 3koa.	Ez zegoen Al Quaedako kide bat Bosniara joan zela erakusten zuen frogarik.	2
Janek Mihdharren bila ari zen New Yorkeko agenteari eskatu zion FISAren aintzatespen-inprimaki bat sinatzeko eta, bertan, adierazteko agenteak ulertzen zuela nola tratatu behar zuen FISAren informazioa.	Epaile federal batek FISAren aitorpen-inprimaki bat sina zezala eskatu zuen Janek.	1
Janek Mihdharren bila ari zen New Yorkeko agenteari eskatu zion FISAren aintzatespen-inprimaki bat sinatzeko eta, bertan, adierazteko agenteak ulertzen zuela nola tratatu behar zuen FISAren informazioa.	FISAren aitorpen-inprimaki bat sina zezatela eskatu zuen Janek.	0
Janek Mihdharren bila ari zen New Yorkeko agenteari eskatu zion FISAren aintzatespen-inprimaki bat sinatzeko eta, bertan, adierazteko agenteak ulertzen zuela nola tratatu behar zuen FISAren informazioa.	FISAren aitorpenik ez zela behar esan zuen Janek.	2
Kontrolguneko azterketan; hau da, gainditu behar izan zuten segurtasun-geruza bakarrean, ez zen aurkitu haiei buruzko ezer aipagarririk.	Kontrolguneko azterketan, froga kezkagarriak aurkitu ziren.	2
Kontrolguneko azterketan; hau da, gainditu behar izan zuten segurtasun-geruza bakarrean, ez zen aurkitu haiei buruzko ezer aipagarririk.	Azterketa egiten duen aduana-agentearen intuizioan oinarritzen dira erabat kontrolguneko azterketak.	1
Kontrolguneko azterketan; hau da, gainditu behar izan zuten segurtasun-geruza bakarrean, ez zen aurkitu haiei buruzko ezer aipagarririk.	Kontrolguneko azterketan ezin izan zen aurkitu haien aurkako frogarik.	0
Khalladek bigarren bertsio bat eman du; hau da, hirurek elkarrekin bidaiatu zutela Karachira.	Khalladek esan zuen ez zekiela ezer haiei hirurei buruz.	2
Khalladek bigarren bertsio bat eman du; hau da, hirurek elkarrekin bidaiatu zutela Karachira.	Khalladek esan zuen litekeena zela hirurek elkarrekin bidaiatzea.	0
Khalladek bigarren bertsio bat eman du; hau da, hirurek elkarrekin bidaiatu zutela Karachira.	Khalladek esan zuen % 50ekoa zela urrian hirurak Karachira joan izanaren probabilitatea.	1
Moussaouiz gain, hauek izan ziren KSMk bigarren eraso-boladarako hautagai gisa identifikatutako Al Qaedako bi langileak Abderraouf Jdey, alias.	KSMk bigarren eraso-bolada bat antolatu zuen.	0
Moussaouiz gain, hauek izan ziren KSMk bigarren eraso-boladarako hautagai gisa identifikatutako Al Qaedako bi langileak Abderraouf Jdey, alias.	Lehen eraso-boladaren ondoren, ez zen beste agenterik geratzen.	2
Moussaouiz gain, hauek izan ziren KSMk bigarren eraso-boladarako hautagai gisa identifikatutako Al Qaedako bi langileak Abderraouf Jdey, alias.	Bigarren eraso-boladak tren-geltokiak zituen jomuga.	1
Inteligentzia-zerbitzuaren txostenean datorren Binalshibhi egindako galdeketa, 2002ko urriaren 1ekoa.	FBIko lantalde batek Binalshibh galdekatu zuen.	1
Inteligentzia-zerbitzuaren txostenean datorren Binalshibhi egindako galdeketa, 2002ko urriaren 1ekoa.	2002an galdekatu zuten Binalshibh.	0
Inteligentzia-zerbitzuaren txostenean datorren Binalshibhi egindako galdeketa, 2002ko urriaren 1ekoa.	Ez zuten inoiz hitz egin Binalshibhekin, eta desagertu egin zen.	2
Mihdharrek Estatu Batuetako beste visa bat jaso zuen CIA-FBIk New Yorken bilera egin eta bi egunera.	Mihdharrek Estatu Batuetako visa bat zuen herrialdean sartzeko.	0
Mihdharrek Estatu Batuetako beste visa bat jaso zuen CIA-FBIk New Yorken bilera egin eta bi egunera.	Mihdharrek ez zuen inoiz visarik jaso; beraz, ez zen inoiz etorri guregana.	2
Mihdharrek Estatu Batuetako beste visa bat jaso zuen CIA-FBIk New Yorken bilera egin eta bi egunera.	Mihdharrek visa bat jaso zuen ez zelako mehatxu bat.	1
Atxiloketan, KSMk ukatu egin du Al Qaedak agenteak dauzkala Kaliforniako hegoaldean.	Al Qaedak hiru agente zituen Arizonan lanean.	1
Atxiloketan, KSMk ukatu egin du Al Qaedak agenteak dauzkala Kaliforniako hegoaldean.	Al Qaedak agian ez du agenterik izan Kalifornian.	0
Atxiloketan, KSMk ukatu egin du Al Qaedak agenteak dauzkala Kaliforniako hegoaldean.	Kaliforniako hegoaldean agenteak zeudela baieztatu zuen KSMk.	2
Bi urtez ikertzen aritu arren, FBIk ezin izan zuen lankidea aurkitu, ezta haren benetako nortasuna zehaztu ere.	FBIk ez zuen inoiz pertsona hura aurkitu 2001ean Floridatik irten ondoren.	1
Bi urtez ikertzen aritu arren, FBIk ezin izan zuen lankidea aurkitu, ezta haren benetako nortasuna zehaztu ere.	FBIk ezin izan zuen asmatu nor zen.	0
Bi urtez ikertzen aritu arren, FBIk ezin izan zuen lankidea aurkitu, ezta haren benetako nortasuna zehaztu ere.	FBIk identifikatu egin zuen, eta espetxeratu.	2
American 11-ren kasuan, hegazkinaren azken komunikazio arrunta 8:13an jaso zen.	American 11 komunikazioak igortzen ari zen.	0
American 11-ren kasuan, hegazkinaren azken komunikazio arrunta 8:13an jaso zen.	American 11-k komunikazio bat igortzen zuen 5 minutuan behin.	1
American 11-ren kasuan, hegazkinaren azken komunikazio arrunta 8:13an jaso zen.	American 11-k ez zuen komunikaziorik igorri.	2
Haiek aurkitu ahal izateko Alemaniako Gobernuaren lankidetza handia eta premiazkoa behar izango zen; baina, zaila izango zen halakorik lortzea.	Ikerketa burutu izan balitz, litekeena da hiru iheslarien kokapena zehaztu ahal izatea.	1
Haiek aurkitu ahal izateko Alemaniako Gobernuaren lankidetza handia eta premiazkoa behar izango zen; baina, zaila izango zen halakorik lortzea.	Baliteke Alemaniako gobernuak halako ikerketa azkar eta sakon bat egiteko zailtasunak izatea.	0
Haiek aurkitu ahal izateko Alemaniako Gobernuaren lankidetza handia eta premiazkoa behar izango zen; baina, zaila izango zen halakorik lortzea.	Ikerketa nahiko sinplea eta gobernuak egiteko erraza zatekeen.	2
Gaitasun horiek ez ziren nahikoa, baina ezer gutxi egin zen haiek handitzeko edo berritzeko.	Haien zaintza-programa ez zen gehiegi aldatu.	1
Gaitasun horiek ez ziren nahikoa, baina ezer gutxi egin zen haiek handitzeko edo berritzeko.	Ez zuten ezer asko egin gauzak aldatzeko.	0
Gaitasun horiek ez ziren nahikoa, baina ezer gutxi egin zen haiek handitzeko edo berritzeko.	Ahalegin handia egin zuten dena berrikusteko.	2
Analistaren mezu elektronikoak, ordea, erakusten du informazioa partekatzeari buruzko lege-ohar eta legezko muga ugari nahasten ari zela agente kriminalek inteligentzia-kanalen bidez bildutako informazioari eman diezazkioketen erabilerak arautzen dituzten xedapenekin.	Analistak azterketa argi eta garbi bat aurkeztu zuen.	2
