premise	hypothesis	label
Amazonek dronekin banaketak egiteko patentea sartu du.	Paketeak dronekin banatzeko patentea bidali du Amazonek.	0
Amazonek dronekin banaketak egiteko patentea sartu du.	Amazonek patenteak sartzeko dronak banatu ditu.	1
Amazonek dronekin banaketak egiteko patentea sartu du.	Amazon dronekin banaketak egiteko patentea noiz sartu zain dago.	2
Santutxuar ugari hurbildu da Gaztetxe ingurura itxieraren aurka protestatzera.	Santutxun bizi den jende asko etorri da gaztetxea irekita mantentzeko eskatzera.	0
Santutxuar ugari hurbildu da Gaztetxe ingurura itxieraren aurka protestatzera.	Santutxuar ugarik inguratu dute gaztetxea itxieraren aurka protestatzeko.	1
Santutxuar ugari hurbildu da Gaztetxe ingurura itxieraren aurka protestatzera.	Santutxuar ugari hurbildu da gaztetxea ixteko eskatzera.	2
Musika oso garrantzitsua izan da nire bizitzan.	Musikaren garrantzia sumatu dut bizitzan zehar.	0
Musika oso garrantzitsua izan da nire bizitzan.	Musika oso garrantzitsua omen da bizitzan.	1
Musika oso garrantzitsua izan da nire bizitzan.	Musikak nire bizitzan duen oraingo garrantzia berria da.	2
Indarra bera naturala da, beraz bere erabilerak ezin du ona edo txarra izan balio absolutu bat bezala.	Indarra naturala denez, bere erabilera ona edo txarra den esateko modu absoluturik ez dago.	0
Indarra bera naturala da, beraz bere erabilerak ezin du ona edo txarra izan balio absolutu bat bezala.	Indarra erabiltzeaz baliatu dena ona edo txarra den esatea ezin dugu normalizatu.	1
Indarra bera naturala da, beraz bere erabilerak ezin du ona edo txarra izan balio absolutu bat bezala.	Indarraren erabilera ona edo txarra den jakiteko, balio absolutuak ezin naturalagoak dira.	2
Une zehatzetan jendearen erantzuna eta konpromisoa argiro azaltzen da.	Une zehatzetan jendeak erantzuten du arazoei.	0
Une zehatzetan jendearen erantzuna eta konpromisoa argiro azaltzen da.	Jendea beti dago prest edozer egiteko.	1
Une zehatzetan jendearen erantzuna eta konpromisoa argiro azaltzen da.	Une zehatzetan jendea beldurtzen da	2
Gazteok Eraikitzen dinamikaren baitan proposaturiko 18 proiektuei ekarpenak egitea izango da biharko egunaren helburua.	Proiektuen artean gaztetxe berri bat eraikitzea dago.	0
Gazteok Eraikitzen dinamikaren baitan proposaturiko 18 proiektuei ekarpenak egitea izango da biharko egunaren helburua.	Gazteok Eraikitzen 2018ko martxoan sortu zen.	1
Gazteok Eraikitzen dinamikaren baitan proposaturiko 18 proiektuei ekarpenak egitea izango da biharko egunaren helburua.	Biharko ekarpena hurrengo astera mugituko da.	2
Nik bestearen hizkuntza ikasten badut, baina besteak ez badu nirea errespetatzen, bere hizkuntza hitz egitea ez da irekitze keinu bat, mendekotasun eta sumisio keinua baizik	Beste pertsona nire hizkuntza ez badu errespetatzen gauza bat argi dago, beren gurasoek ez zuten ondo zaindu bere semeak.	0
Nik bestearen hizkuntza ikasten badut, baina besteak ez badu nirea errespetatzen, bere hizkuntza hitz egitea ez da irekitze keinu bat, mendekotasun eta sumisio keinua baizik	Beste hizkuntzak ikastea ona da pertsonentzat.	1
Nik bestearen hizkuntza ikasten badut, baina besteak ez badu nirea errespetatzen, bere hizkuntza hitz egitea ez da irekitze keinu bat, mendekotasun eta sumisio keinua baizik	Beste hizkuntzak errespetatzea beharrezkoa da.	2
Paraje ederra da mendia eta itxasoak bat egiten duten hau.	Mendia eta itsasoa topatzen diren tokian edertasuna aurkitu dezakezu.	0
Paraje ederra da mendia eta itxasoak bat egiten duten hau.	Mundua leku ederrez beteta dago.	1
Paraje ederra da mendia eta itxasoak bat egiten duten hau.	Mendiak eta itsasoak zaborrez beteta dauda.	2
Norbere elkarte, enpresa edo erakundearen dinamikari astindu bat emateko tresnak proposatzen dira bertan.	Dinamika aldatzeko modu hoberena bestearen larruan sartzea da.	0
Norbere elkarte, enpresa edo erakundearen dinamikari astindu bat emateko tresnak proposatzen dira bertan.	Dinamika aldatzea jendearen adimena irekitzen du.	1
Norbere elkarte, enpresa edo erakundearen dinamikari astindu bat emateko tresnak proposatzen dira bertan.	Dinamika aldatzea arazo asko ekarri dezake, adibidez deserosotasuna.	2
Lucia gizon batekin ezkonduta dago.	Gizon bat Luciarekin ezkonduta dago.	0
Lucia gizon batekin ezkonduta dago.	Gizonezkoak eta emakumeak maiz ezkontzen dira.	1
Lucia gizon batekin ezkonduta dago.	Lucia dibortziatua da.	2
Ez dago Euskal Herrian antzerkia Lete bezainbeste ikuspuntutatik praktikatu duenik	Lete sari asko irabazi zuen bere antzerki antzezlanagatik.	0
Ez dago Euskal Herrian antzerkia Lete bezainbeste ikuspuntutatik praktikatu duenik	500 urtez egin dira antzezlanak.	1
Ez dago Euskal Herrian antzerkia Lete bezainbeste ikuspuntutatik praktikatu duenik	Letek ez du hainbeste ikuspuntutatik lan egin.	2
Iaz erabaki nuen 40. urteurrena goitik eta sarri ospatu behar nuela.	Nire 40 urteurrenean munduko festa izan nuen.	0
Iaz erabaki nuen 40. urteurrena goitik eta sarri ospatu behar nuela.	Urteurrenak garrantzitsuak dira.	1
Iaz erabaki nuen 40. urteurrena goitik eta sarri ospatu behar nuela.	Nire 40 urteurrena ahaztu nuen.	2
Alderdi politiko guztietako ordezkariak dituen Administrazio Kontseiluak zuzentzen du sozietatea eta Batzar Nagusia Udalbatzarra bera da.	Alderdi politikoen artean PP, PNV, PSO, eta Sumar daude.	0
Alderdi politiko guztietako ordezkariak dituen Administrazio Kontseiluak zuzentzen du sozietatea eta Batzar Nagusia Udalbatzarra bera da.	Udalbatzarra Eusko Jaurlaritzarekin batera egiten du lan.	1
Alderdi politiko guztietako ordezkariak dituen Administrazio Kontseiluak zuzentzen du sozietatea eta Batzar Nagusia Udalbatzarra bera da.	Udalbatzarra ez da politikariena, funtzionarioena eta herritarrena baizik.	2
Hasieratik helburua finkatu zuten: elebidun orekatuak izatea gure seme-alabak.	Gure helburua da seme-alabak izatea.	0
Hasieratik helburua finkatu zuten: elebidun orekatuak izatea gure seme-alabak.	Denon seme-alabak elebidun izan beharko zuten.	1
Hasieratik helburua finkatu zuten: elebidun orekatuak izatea gure seme-alabak.	Ez dute seme-alabarik nahi.	2
2016ko maiatzaren 1ean, ADES Espeleologia Elkarteak labar-arte multzo garrantzitsua aurkitu zuen Lekeitioko Armintxe kobazuloan.	Labar-artea bisoi baten ehizari buruzkoa zen.	0
2016ko maiatzaren 1ean, ADES Espeleologia Elkarteak labar-arte multzo garrantzitsua aurkitu zuen Lekeitioko Armintxe kobazuloan.	Labar-artea zaharrena K.a. 600. urtekoa da.	1
2016ko maiatzaren 1ean, ADES Espeleologia Elkarteak labar-arte multzo garrantzitsua aurkitu zuen Lekeitioko Armintxe kobazuloan.	Labar-artea graffiti bat izan zen.	2
Eta ogi goxoa erosi dugu mormoien baserrian.	Mormoiek egin duten ogia oso goxoa da.	0
Eta ogi goxoa erosi dugu mormoien baserrian.	Ogiak ona dago bat edo bi egunetarako.	1
Eta ogi goxoa erosi dugu mormoien baserrian.	Mormoiei erosi diegun ogia gogorra eta zapore gabekoa da	2
Tortura salatu zenuten arren ez zen zabaldu berria.	3 urtez egon ziren torturatzen gizajo hori.	0
Tortura salatu zenuten arren ez zen zabaldu berria.	Norbait torturatzea munduko gauza txarrena da.	1
Tortura salatu zenuten arren ez zen zabaldu berria.	Tortura egin zutela mundua ezustean hartu zuen.	2
Umorea oso aldakorra da, asko fluktuatzen du.	Betidanik dakigu bere umorea aldakorra dela.	0
Umorea oso aldakorra da, asko fluktuatzen du.	Pertsona baten umorea ez da beti berdina.	1
Umorea oso aldakorra da, asko fluktuatzen du.	Beti pozik dago.	2
Zeren eta Donostira joan zaitezke garraio publikoan, edo inguruko auzoren batean aparkatu, edo ordainpeko parking batean.	Garraio publiko bat hartzen baduzue hartu autobusa, ez pentsa trena hartzean ere.	0
Zeren eta Donostira joan zaitezke garraio publikoan, edo inguruko auzoren batean aparkatu, edo ordainpeko parking batean.	Bilbotik Donostiara autobuses garraioa ordu bat eta erdi da gutxi gora behera.	1
Zeren eta Donostira joan zaitezke garraio publikoan, edo inguruko auzoren batean aparkatu, edo ordainpeko parking batean.	Ez joan Donostiara dena oso gareztia da.	2
Arratsaldeko seietan hasiko da dokumentala Uztaldi gaztetxean.	Uztaldi gaztetxea arratsaldeetan irekita dago.	0
Arratsaldeko seietan hasiko da dokumentala Uztaldi gaztetxean.	Uztaldi gaztetxea gazteez beteta dago.	1
Arratsaldeko seietan hasiko da dokumentala Uztaldi gaztetxean.	Uztaldi gaztetxeari telebista apurtu zaio.	2
Monogamia fidelak promesten dituen amaiera zoriontsuak ez dira uste bezain ohikoak.	Amaiera zoriontsua izateko lan egin behar duzu.	0
Monogamia fidelak promesten dituen amaiera zoriontsuak ez dira uste bezain ohikoak.	Monogamia eta poligamia kontrakoak dira.	1
Monogamia fidelak promesten dituen amaiera zoriontsuak ez dira uste bezain ohikoak.	Monogamia maitagarrien ipuinetan bezala beti amaiera zoriontsua dakar.	2
Indarrez inposatutako errealitate bati aurre egiteko indarra beharrezkoa da, lehenik eta behin.	Indarra bakarrik ez da nahikoa, iraunkortasuna ere behar da.	0
Indarrez inposatutako errealitate bati aurre egiteko indarra beharrezkoa da, lehenik eta behin.	Errealitate bati aurre egiteko lehenik prest egon behar zara.	1
Indarrez inposatutako errealitate bati aurre egiteko indarra beharrezkoa da, lehenik eta behin.	Indarrez inposatutako errealitate baten aurka lehen urratsa komunikazioa da.	2
Astialdiko Begirale eta Zuzendari ikastaroekin batera, Eusko Jaurlaritzak luzatutako Titulazio Ofizialen artean dago.	Astialdiko Begirale 150 orduko ikastaroa da eta modu estentsiboan zein intentsiboan egin daiteke.	0
Astialdiko Begirale eta Zuzendari ikastaroekin batera, Eusko Jaurlaritzak luzatutako Titulazio Ofizialen artean dago.	Ikastaroak modu hoberenak dira gauza berriak ikasteko.	1
Astialdiko Begirale eta Zuzendari ikastaroekin batera, Eusko Jaurlaritzak luzatutako Titulazio Ofizialen artean dago.	Astialdiko Begirale ikastaroa gobernu zentrala luzatutako Titulazio Ofizialen artean dago.	2
ON Bizkaia Sariek jarduera ekonomikoa eta lanpostuak sortzeko enpresek egindako ekarpena goraipatzen dute.	Urte honetan 1.300.000 lanpostu berriak sortu dira.	0
ON Bizkaia Sariek jarduera ekonomikoa eta lanpostuak sortzeko enpresek egindako ekarpena goraipatzen dute.	Gaur egungo lanak gero eta aurreratuagoak dira orain dela 1000 urterekin alderatuta.	1
ON Bizkaia Sariek jarduera ekonomikoa eta lanpostuak sortzeko enpresek egindako ekarpena goraipatzen dute.	Sortzen diren behin-behineko lanpostuak dira eta horregatik ez genuke premio bat eman behar.	2
Plazer handia izan zen gora iristea.	Gora iritsi genuenean bistak ederrak ziren.	0
Plazer handia izan zen gora iristea.	Helburuak betetzea izugarria da	1
Plazer handia izan zen gora iristea.	Ez genuen gora iritsi Mikelek hanka apurtu zuelako.	2
Ikastaro zehatzak antolatuko dira urtean zehar gai ezberdinak jorratzeko: espazioak, psikomotrizitatea...	Ikastaroen artean arte moderno abstraktua hoberena da, Mikel dagoeneko izena eman du.	0
Ikastaro zehatzak antolatuko dira urtean zehar gai ezberdinak jorratzeko: espazioak, psikomotrizitatea...	Ikastaroen helburua beti da jendeari gauza berriak irkatea.	1
Ikastaro zehatzak antolatuko dira urtean zehar gai ezberdinak jorratzeko: espazioak, psikomotrizitatea...	Ikastaroak alferrikakoak dira, jendea ez duelako ezer ikasten ez badute lan egiten.	2
Gogoeta sakonak eginak ditu gure artearen egoeraren inguruan.	Gurfe arteari buruz asko hitz egin dugu.	0
Gogoeta sakonak eginak ditu gure artearen egoeraren inguruan.	Bakoitzak duen artea bakarra da.	1
Gogoeta sakonak eginak ditu gure artearen egoeraren inguruan.	Ez zaigu axola ematen gure artea.	2
Kanpaina antikapitalistaren barruan aste honetan ekimen gehiago antolatu dituzte.	Ekimen berrien artean kontzertu bat dago.	0
Kanpaina antikapitalistaren barruan aste honetan ekimen gehiago antolatu dituzte.	Kanpaina antikapitalistak eta kanpaina antisozialistak kontrakoak dira.	1
Kanpaina antikapitalistaren barruan aste honetan ekimen gehiago antolatu dituzte.	Kanpaina antikapitalista bertan behera utzi dute, ez baizen jendea agertu.	2
"Helbide horiek aldatzeko, egoitza elektronikoko "" Nire Datuak "" atalera sartu behar duzu."	"Nire Datuak sartu eta gero, ""OK"" botoia sakatu behar duzu."	0
"Helbide horiek aldatzeko, egoitza elektronikoko "" Nire Datuak "" atalera sartu behar duzu."	Helbide elektronikoak mezuak bidaltzeko erabiltzen dira.	1
"Helbide horiek aldatzeko, egoitza elektronikoko "" Nire Datuak "" atalera sartu behar duzu."	Ezinezkoa da  helbideak aldatzea web orria erori delako.	2
Lan egiteko eta harremanak izateko modua aldatu du eraldaketa digitalak.	Jendeak denbora gehiago mugikorrean eta ordenagailuan irauten du.	0
Lan egiteko eta harremanak izateko modua aldatu du eraldaketa digitalak.	Eraldaketa digitala mundua behar duen hurrengo aurrerapena da.	1
Lan egiteko eta harremanak izateko modua aldatu du eraldaketa digitalak.	Jendeak beti bezala lan egiten du.	2
Beti bada kexarako bidea, batez ere norbera denean ahul eta laguntza inoiz ez denean perfektua izaten.	Laguntzarekin edonork edozer egin dezake.	0
Beti bada kexarako bidea, batez ere norbera denean ahul eta laguntza inoiz ez denean perfektua izaten.	Guztiok behar dugu laguntza noizbehinka.	1
Beti bada kexarako bidea, batez ere norbera denean ahul eta laguntza inoiz ez denean perfektua izaten.	Ez dago inor ahul, lan egin nahi ez duen jendea baizik.	2
Ez zekien hilik zegoela.	Hil zegoela zirudien.	0
Ez zekien hilik zegoela.	Hilik dauden pertsonak ez dira mugitzen.	1
Ez zekien hilik zegoela.	Ez zegoen hilda, lotan zegoen.	2
Zeharo hunkituta gelditu nintzen ezusteko agur honekin.	Zorionez ezusteko ona izan zen.	0
Zeharo hunkituta gelditu nintzen ezusteko agur honekin.	Ezustekoak onak edo txarrak izan daitezke.	1
Zeharo hunkituta gelditu nintzen ezusteko agur honekin.	Ezusteko horri buruz duela aste ugari izen nuen berri.	2
Samsungek badu smart school bat eta proposatzen du klaseak ematea bere Samsung Gear VR betuarrekoekin eta MagiclWB S2 arbelekin.	Samsung munduko klase teknologikoena edukiko du.	0
Samsungek badu smart school bat eta proposatzen du klaseak ematea bere Samsung Gear VR betuarrekoekin eta MagiclWB S2 arbelekin.	Samsung telebistak, mugikorrak eta kamerak egiten du.	1
Samsungek badu smart school bat eta proposatzen du klaseak ematea bere Samsung Gear VR betuarrekoekin eta MagiclWB S2 arbelekin.	Samsung ezin du klaseak eman VR betaurrekoekin, haurrak jolasten egongo zirelako.	2
Getariako hizkera eta ahozko ondarea biltzen dituen GETARIAKO AHOTSAK egitasmoaren emaitza da GETAIKO EUSKERA liburua.	GETAIKO EUSKERA liburuan Getariako hizkera aurkitu daiteke.	0
Getariako hizkera eta ahozko ondarea biltzen dituen GETARIAKO AHOTSAK egitasmoaren emaitza da GETAIKO EUSKERA liburua.	Ez zait gustatzen GETAIKO EUSKERA liburua.	1
Getariako hizkera eta ahozko ondarea biltzen dituen GETARIAKO AHOTSAK egitasmoaren emaitza da GETAIKO EUSKERA liburua.	GETAIKO EUSKERA liburuan Bizkaiko euskara jasotzen da.	2
Digitalizazioaren hastapenetan, webguneak sortu ziren, eta komunikazioa demokratizatzeko aukerak eskaini zituzten.	Digitalizazioaren hastapenetan, webguneak ezagunagoak bihurtu ziren.	0
Digitalizazioaren hastapenetan, webguneak sortu ziren, eta komunikazioa demokratizatzeko aukerak eskaini zituzten.	Digitalazioa orain dela asko gertatu zen.	1
Digitalizazioaren hastapenetan, webguneak sortu ziren, eta komunikazioa demokratizatzeko aukerak eskaini zituzten.	Digitalazio hasieran, komunikazio aukerak suntsitu ziren.	2
Sari-banaketarako bi neska gazte azaldu ziren, sarrera euskaraz eta tarteka ere bai, baina eduki nagusia gaztelaniaz.	Neskek gehiago hitz egin zuten gaztelaniaz euskaraz baino.	0
Sari-banaketarako bi neska gazte azaldu ziren, sarrera euskaraz eta tarteka ere bai, baina eduki nagusia gaztelaniaz.	Sari-banaketa Lekeition izan zen.	1
Sari-banaketarako bi neska gazte azaldu ziren, sarrera euskaraz eta tarteka ere bai, baina eduki nagusia gaztelaniaz.	Neskek ingelesez hitz egin zuten sari-banaketan.	2
Guztiz gomendagarria da San Anton mendia (xagua) ezagutzea.	San Anton media ezagutzeak merezi du.	0
Guztiz gomendagarria da San Anton mendia (xagua) ezagutzea.	San Anton Mendia Espainian dago.	1
Guztiz gomendagarria da San Anton mendia (xagua) ezagutzea.	San Anton mendia oso itsusia da.	2
Lilirekin eta aurrez aurre topo egin genuen.	Lili ikusi genuen.	0
Lilirekin eta aurrez aurre topo egin genuen.	Lili oso polita zegoen.	1
Lilirekin eta aurrez aurre topo egin genuen.	Lili orain dela asko ez dugula ikusten.	2
Eguzkia gero eta gorriagoa den zirkuferentzia baino ez da nerabearen begietan.	Nerabeek ez dute kasu handirik egiten beste gauza guztiei.	0
Eguzkia gero eta gorriagoa den zirkuferentzia baino ez da nerabearen begietan.	Nerabeak oso dibertigarriak dira.	1
Eguzkia gero eta gorriagoa den zirkuferentzia baino ez da nerabearen begietan.	Nerabeak gauza guztietaz konturatzen dira.	2
Solte taldeak 'IXA' azken diskoaren (Taupaka elkartea, 2016) Eraldatutako mundua abestiarekin bideoklip berritzailea prestatu du.	Solte taldeak bideoklip berri bat prestatu du.	0
Solte taldeak 'IXA' azken diskoaren (Taupaka elkartea, 2016) Eraldatutako mundua abestiarekin bideoklip berritzailea prestatu du.	Abestia ospetsua handia irabazi du denbora gutxian.	1
Solte taldeak 'IXA' azken diskoaren (Taupaka elkartea, 2016) Eraldatutako mundua abestiarekin bideoklip berritzailea prestatu du.	Solte taldea erretiratu egin dira eta ez dute ezer gehiago egingo.	2
Eraldaketa digitalak paradigma aldaketa handia dakar kultura eta sormen-arloan.	Eraldaketa digitalak aukera gehiago ematen dizkizu kultura eta sormen-arloan.	0
Eraldaketa digitalak paradigma aldaketa handia dakar kultura eta sormen-arloan.	Eraldaketa digitala oraindik berrikuntza asko ekar ditzake gure gizartean.	1
Eraldaketa digitalak paradigma aldaketa handia dakar kultura eta sormen-arloan.	Eraldaketa digitalak paradigma aldaketa txikia dakar kultura eta sormen-arloan.	2
Europar Batasuna edozenbat hamarkada luzetan aritu izan da lehen munduaren erreferentzia izaten demokraziaz, berdintasunaz, segurtasunaz eta ongizateaz.	Europar Batasuna haibat arlotan lehen munduko erreferentzia da.	0
Europar Batasuna edozenbat hamarkada luzetan aritu izan da lehen munduaren erreferentzia izaten demokraziaz, berdintasunaz, segurtasunaz eta ongizateaz.	Europar Batasunean hainbat herrialde daude.	1
Europar Batasuna edozenbat hamarkada luzetan aritu izan da lehen munduaren erreferentzia izaten demokraziaz, berdintasunaz, segurtasunaz eta ongizateaz.	Estatu Batuak izan dira lehen munduko erreferentzia demokraziaz, berdintasunaz, segurtasunaz eta ongizateaz.	2
Logika komertzialarekin begiratzen dugu bizitza: dena erraz, eroso, aldagarri, kalitatezko eta merke.	Bizitza logika komertzialaren bitartez begiratzen badugu dena errazagoa izango litzateke.	0
Logika komertzialarekin begiratzen dugu bizitza: dena erraz, eroso, aldagarri, kalitatezko eta merke.	Logika komertziala gaur eguneko kontzeptu berri bat da.	1
Logika komertzialarekin begiratzen dugu bizitza: dena erraz, eroso, aldagarri, kalitatezko eta merke.	Logika komertzialarekin begiratzen dugu bizitza: dena zail, deseroso, aldaezin, erdipurdiko eta garesti.	2
Entzutegi Nazionalean, epailearen aurrean, ez zuten aitorpena berretsi.	Epaileari ez zioten aitortu, aitortu beharrekoa.	0
Entzutegi Nazionalean, epailearen aurrean, ez zuten aitorpena berretsi.	Entzutegi Nazionalean erabaki hartzen dira.	1
Entzutegi Nazionalean, epailearen aurrean, ez zuten aitorpena berretsi.	Dena aitortu zuten epailearen aurrean.	2
Joseph Camino saria jasoko du Antton Olariagak Santutxun, euskal komikiaren inguruko Parrapean Komiki Egunak jardunaldien baitan.	Antton Olariagak Joseph Camino saria irabaziko du egindako lanagatik.	0
Joseph Camino saria jasoko du Antton Olariagak Santutxun, euskal komikiaren inguruko Parrapean Komiki Egunak jardunaldien baitan.	Joseph Camino 2015ean hil zen.	1
Joseph Camino saria jasoko du Antton Olariagak Santutxun, euskal komikiaren inguruko Parrapean Komiki Egunak jardunaldien baitan.	Joseph Caminok saria Madrilen jasoko du.	2
Atzo une batez Nancho Novo aktore galiziarra ikusi nuen telebistan Jesusen aitaren paperean, serio demonio.	Atzo une batez serio demonio pelikula ikusi nuen.	0
Atzo une batez Nancho Novo aktore galiziarra ikusi nuen telebistan Jesusen aitaren paperean, serio demonio.	Nacho Novo aktorea 1958ko irailaren 17an jaio zen.	1
Atzo une batez Nancho Novo aktore galiziarra ikusi nuen telebistan Jesusen aitaren paperean, serio demonio.	Nacho Novo aktoreak beti betetzen ditu umorezko paperak.	2
Uztailaren 13an inauguratutako lokala irailaren 28an itxiarazi zuen Ertzaintzak epaileak sinatutako huste agindua betearaziz.	Lokalak hil bat baino pixka bat gehiago egon da irekita.	0
Uztailaren 13an inauguratutako lokala irailaren 28an itxiarazi zuen Ertzaintzak epaileak sinatutako huste agindua betearaziz.	Lokala asko gustatzen zitzaidan.	1
Uztailaren 13an inauguratutako lokala irailaren 28an itxiarazi zuen Ertzaintzak epaileak sinatutako huste agindua betearaziz.	Uztailaren 13an inauguratutako lokala irekita jarraitzen du eta ez sekula itxi.	2
Gau batean, Lucia eta Miren ardo batzuen bueltan zebiltzala, Andrea gonbidatu zuten nagusiaren etxera, eta harreman sexualak izan zituzten hirurek.	Harreman sexualak izan zituzten egunean, nagusiaren etxean egon ziren.	0
Gau batean, Lucia eta Miren ardo batzuen bueltan zebiltzala, Andrea gonbidatu zuten nagusiaren etxera, eta harreman sexualak izan zituzten hirurek.	Harreman sexualak edukitzerakoan kontu handia izan behar da sexu-transmisioko gaixotasunekin.	1
Gau batean, Lucia eta Miren ardo batzuen bueltan zebiltzala, Andrea gonbidatu zuten nagusiaren etxera, eta harreman sexualak izan zituzten hirurek.	Lucia, Miren eta Andrea birjinak dira.	2
Laster jakinaraziko da pelikula zein aretok proiektatuko duen.	Pelikula areto batean ikusiko da.	0
Laster jakinaraziko da pelikula zein aretok proiektatuko duen.	Jendea pelikula ikusteko irrikaz dago.	1
Laster jakinaraziko da pelikula zein aretok proiektatuko duen.	Berandu jakinaraziko dute zein aretotan proiektatu den.	2
Gure arlo sufritua da, eta moldatzeko gaitasun handia daukagu.	Lan neketsu asko egiten dira gure arloan.	0
Gure arlo sufritua da, eta moldatzeko gaitasun handia daukagu.	Sufritua izan arren, asko gustatzen zaigu gure arloa.	1
Gure arlo sufritua da, eta moldatzeko gaitasun handia daukagu.	Gure arloan ez dugu ezer egiten, oso aspergarria da.	2
Urduñako ekonomia sustatzea du helburu eta Euskadiko Garapen Agentzietako Garapen Sareko kidea da.	Urduñako ekonomiari lagundu nahi dio.	0
Urduñako ekonomia sustatzea du helburu eta Euskadiko Garapen Agentzietako Garapen Sareko kidea da.	Urduña Araban dago kokatuta.	1
Urduñako ekonomia sustatzea du helburu eta Euskadiko Garapen Agentzietako Garapen Sareko kidea da.	Euskadiko Garapen Agentzietako Garapen Sareak ez du kiderik.	2
Denbora urriagoa dutenek ere badute ikastaro laburragoak egiteko aukera.	Denbora urriago duten pertsonetan ere pentsatzen dute.	0
Denbora urriagoa dutenek ere badute ikastaro laburragoak egiteko aukera.	Ez nekien horrelako aukerarik zegoela ikastaro horretan.	1
Denbora urriagoa dutenek ere badute ikastaro laburragoak egiteko aukera.	Denbora urriagoa dutenek ere badute ikastaro luzeagoak egiteko aukera.	2
Hiru urte eta erdiz auzoko gazteen topaleku izan eta gero, Lakomi Gaztetxeak 2011ko azaroan itxi zituen ateak.	Gaur egun Lakomi Gaztetxea ez dago irekita.	0
Hiru urte eta erdiz auzoko gazteen topaleku izan eta gero, Lakomi Gaztetxeak 2011ko azaroan itxi zituen ateak.	Denbora asko igaro nuen Lakomi Gaztetzean.	1
Hiru urte eta erdiz auzoko gazteen topaleku izan eta gero, Lakomi Gaztetxeak 2011ko azaroan itxi zituen ateak.	Lakomi Gaztetxea 10 urte iraun zuen irekita.	2
1972an Zeruko Argia-n hasi eta nortasun handiko estilo berritzailearekin, euskal umore grafikoaren historiari irauli bat eman zion.	Euskal umore grafikoaren historian Zeruko Argia-k eragina izan zuen.	0
1972an Zeruko Argia-n hasi eta nortasun handiko estilo berritzailearekin, euskal umore grafikoaren historiari irauli bat eman zion.	1972an Zeruko Argia-z gain beste gauza batzuk gertatu ziren.	1
1972an Zeruko Argia-n hasi eta nortasun handiko estilo berritzailearekin, euskal umore grafikoaren historiari irauli bat eman zion.	2015an Zeruko Argia-n hasi eta nortasun handiko estilo berritzailearekin, euskal umore grafikoaren historiari irauli bat eman zion.	2
Gaztetape hondartzara harriz betea dago; baina olagarru polit batekin egin genuen topo.	Gaztetape hondartza ez dago hondarrez betea.	0
Gaztetape hondartzara harriz betea dago; baina olagarru polit batekin egin genuen topo.	Olagarroa oso pozoitsua zenez, ez gara inoiz berriro joan Gaztetape hondartzara.	1
Gaztetape hondartzara harriz betea dago; baina olagarru polit batekin egin genuen topo.	Gaztetape hondartzan ez dago olagarrorik.	2
Osasunez nahiko ondo dabil eta lanean ere tinko dirau, batez ere gelen alokairuarekin.	Gela alokairuetan lan ona egiten du.	0
Osasunez nahiko ondo dabil eta lanean ere tinko dirau, batez ere gelen alokairuarekin.	Denbora batez kaskar samar ibili da, baina orain hobeto dabil.	1
Osasunez nahiko ondo dabil eta lanean ere tinko dirau, batez ere gelen alokairuarekin.	Hainbat gaixotasun ditu eta lanean kaskar samar dabil.	2
"Oso pozik eta egindako lana zaleekin konpartitzeko ""gogotsu"" agertu dira taldekideak."	Taldekideak oso pozik daude egindako lanarekin.	0
"Oso pozik eta egindako lana zaleekin konpartitzeko ""gogotsu"" agertu dira taldekideak."	Zaleak izugarrizko irrika dute dena entzuteko.	1
"Oso pozik eta egindako lana zaleekin konpartitzeko ""gogotsu"" agertu dira taldekideak."	Taldekideak goibel egon dira.	2
Demokraziak ez gaitu aske egingo.	Demokraziak preso egingo gaitu.	0
Demokraziak ez gaitu aske egingo.	Demokrazia egitura politiko bat da.	1
Demokraziak ez gaitu aske egingo.	Demokraziak askatu egingo gaitu	2
Kaleetatik jasotako animaliek etorkizun duina izan dezaten, katuak adoptatzeko mezua jendarteratzea du xede.	Kaleetatik jasotako animaliek baldintza txarragoak dituzte, adoptatuak baino.	0
Kaleetatik jasotako animaliek etorkizun duina izan dezaten, katuak adoptatzeko mezua jendarteratzea du xede.	Kaleetan katu asko daude.	1
Kaleetatik jasotako animaliek etorkizun duina izan dezaten, katuak adoptatzeko mezua jendarteratzea du xede.	Adoptatutako katuak kaleratzea du xede.	2
Ez dira aldaketak berehalakoan igarriko akaso, baina progresiboki urratsak norabide berri batean emateko irizpideak finkatzen dihardugu.	Aldaketak apurka-apurka nabarituko dira.	0
Ez dira aldaketak berehalakoan igarriko akaso, baina progresiboki urratsak norabide berri batean emateko irizpideak finkatzen dihardugu.	Aldaketak lortzeko mentalitate ekina izan behar da.	1
Ez dira aldaketak berehalakoan igarriko akaso, baina progresiboki urratsak norabide berri batean emateko irizpideak finkatzen dihardugu.	Norabide zahar batean emateko irizpideak finkatzen dihardugu.	2
Egun batean Amancay Gaztañaga Sagarzazu k (Guayaquil, 1980) Pandoraren kutxa ireki eta mila koloreko mundua deskubritu zuen.	Pandoraren kutxa irekiz gero, mila koloreko mundua deskubritu dezakezu.	0
